,A,B
2465,"63층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>26 RETURN n.name
2466,"63층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>36 RETURN n.name
2467,"63층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>46 RETURN n.name
2468,"63층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>56 RETURN n.name
2469,"63층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>66 RETURN n.name
2470,"63층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>76 RETURN n.name
2471,"63층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>86 RETURN n.name
2472,"63층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>96 RETURN n.name
2473,"63층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>106 RETURN n.name
2474,"63층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>116 RETURN n.name
2475,"63층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>126 RETURN n.name
2476,"63층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>136 RETURN n.name
2477,"63층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>146 RETURN n.name
2478,"63층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>156 RETURN n.name
2479,"63층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>166 RETURN n.name
2480,"63층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>176 RETURN n.name
2481,"63층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>186 RETURN n.name
2482,"63층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>196 RETURN n.name
2483,"63층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>206 RETURN n.name
2484,"63층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>216 RETURN n.name
2485,"63층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>226 RETURN n.name
2486,"63층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>236 RETURN n.name
2487,"63층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>246 RETURN n.name
2488,"63층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>256 RETURN n.name
2489,"63층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>266 RETURN n.name
2490,"63층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>276 RETURN n.name
2491,"63층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>286 RETURN n.name
2492,"63층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>296 RETURN n.name
2493,"63층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>306 RETURN n.name
2494,"63층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>316 RETURN n.name
2495,"63층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>63 AND n.size>326 RETURN n.name
2496,"64층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>16 RETURN n.name
2497,"64층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>26 RETURN n.name
2498,"64층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>36 RETURN n.name
2499,"64층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>46 RETURN n.name
2500,"64층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>56 RETURN n.name
2501,"64층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>66 RETURN n.name
2502,"64층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>76 RETURN n.name
2503,"64층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>86 RETURN n.name
2504,"64층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>96 RETURN n.name
2505,"64층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>106 RETURN n.name
2506,"64층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>116 RETURN n.name
2507,"64층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>126 RETURN n.name
2508,"64층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>136 RETURN n.name
2509,"64층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>146 RETURN n.name
2510,"64층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>156 RETURN n.name
2511,"64층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>166 RETURN n.name
2512,"64층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>176 RETURN n.name
2513,"64층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>186 RETURN n.name
2514,"64층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>196 RETURN n.name
2515,"64층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>206 RETURN n.name
2516,"64층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>216 RETURN n.name
2517,"64층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>226 RETURN n.name
2518,"64층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>236 RETURN n.name
2519,"64층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>246 RETURN n.name
2520,"64층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>256 RETURN n.name
2521,"64층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>266 RETURN n.name
2522,"64층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>276 RETURN n.name
2523,"64층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>286 RETURN n.name
2524,"64층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>296 RETURN n.name
2525,"64층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>306 RETURN n.name
2526,"64층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>316 RETURN n.name
2527,"64층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>64 AND n.size>326 RETURN n.name
2528,"65층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>16 RETURN n.name
2529,"65층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>26 RETURN n.name
2530,"65층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>36 RETURN n.name
2531,"65층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>46 RETURN n.name
2532,"65층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>56 RETURN n.name
2533,"65층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>66 RETURN n.name
2534,"65층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>76 RETURN n.name
2535,"65층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>86 RETURN n.name
2536,"65층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>96 RETURN n.name
2537,"65층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>106 RETURN n.name
2538,"65층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>116 RETURN n.name
2539,"65층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>126 RETURN n.name
2540,"65층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>136 RETURN n.name
2541,"65층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>146 RETURN n.name
2542,"65층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>156 RETURN n.name
2543,"65층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>166 RETURN n.name
2544,"65층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>176 RETURN n.name
2545,"65층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>186 RETURN n.name
2546,"65층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>196 RETURN n.name
2547,"65층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>206 RETURN n.name
2548,"65층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>216 RETURN n.name
2549,"65층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>226 RETURN n.name
2550,"65층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>236 RETURN n.name
2551,"65층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>246 RETURN n.name
2552,"65층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>256 RETURN n.name
2553,"65층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>266 RETURN n.name
2554,"65층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>276 RETURN n.name
2555,"65층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>286 RETURN n.name
2556,"65층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>296 RETURN n.name
2557,"65층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>306 RETURN n.name
2558,"65층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>316 RETURN n.name
2559,"65층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>65 AND n.size>326 RETURN n.name
2560,"66층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>16 RETURN n.name
2561,"66층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>26 RETURN n.name
2562,"66층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>36 RETURN n.name
2563,"66층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>46 RETURN n.name
2564,"66층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>56 RETURN n.name
2565,"66층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>66 RETURN n.name
2566,"66층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>76 RETURN n.name
2567,"66층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>86 RETURN n.name
2568,"66층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>96 RETURN n.name
2569,"66층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>106 RETURN n.name
2570,"66층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>116 RETURN n.name
2571,"66층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>126 RETURN n.name
2572,"66층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>136 RETURN n.name
2573,"66층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>146 RETURN n.name
2574,"66층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>156 RETURN n.name
2575,"66층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>166 RETURN n.name
2576,"66층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>176 RETURN n.name
2577,"66층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>186 RETURN n.name
2578,"66층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>196 RETURN n.name
2579,"66층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>206 RETURN n.name
2580,"66층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>216 RETURN n.name
2581,"66층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>226 RETURN n.name
2582,"66층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>236 RETURN n.name
2583,"66층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>246 RETURN n.name
2584,"66층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>256 RETURN n.name
2585,"66층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>266 RETURN n.name
2586,"66층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>276 RETURN n.name
2587,"66층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>286 RETURN n.name
2588,"66층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>296 RETURN n.name
2589,"66층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>306 RETURN n.name
2590,"66층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>316 RETURN n.name
2591,"66층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>66 AND n.size>326 RETURN n.name
2592,"67층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>16 RETURN n.name
2593,"67층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>26 RETURN n.name
2594,"67층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>36 RETURN n.name
2595,"67층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>46 RETURN n.name
2596,"67층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>56 RETURN n.name
2597,"67층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>66 RETURN n.name
2598,"67층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>76 RETURN n.name
2599,"67층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>86 RETURN n.name
2600,"67층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>96 RETURN n.name
2601,"67층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>106 RETURN n.name
2602,"67층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>116 RETURN n.name
2603,"67층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>126 RETURN n.name
2604,"67층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>136 RETURN n.name
2605,"67층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>146 RETURN n.name
2606,"67층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>156 RETURN n.name
2607,"67층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>166 RETURN n.name
2608,"67층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>176 RETURN n.name
2609,"67층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>186 RETURN n.name
2610,"67층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>196 RETURN n.name
2611,"67층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>206 RETURN n.name
2612,"67층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>216 RETURN n.name
2613,"67층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>226 RETURN n.name
2614,"67층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>236 RETURN n.name
2615,"67층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>246 RETURN n.name
2616,"67층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>256 RETURN n.name
2617,"67층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>266 RETURN n.name
2618,"67층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>276 RETURN n.name
2619,"67층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>286 RETURN n.name
2620,"67층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>296 RETURN n.name
2621,"67층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>306 RETURN n.name
2622,"67층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>316 RETURN n.name
2623,"67층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>67 AND n.size>326 RETURN n.name
2624,"68층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>16 RETURN n.name
2625,"68층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>26 RETURN n.name
2626,"68층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>36 RETURN n.name
2627,"68층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>46 RETURN n.name
2628,"68층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>56 RETURN n.name
2629,"68층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>66 RETURN n.name
2630,"68층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>76 RETURN n.name
2631,"68층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>86 RETURN n.name
2632,"68층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>96 RETURN n.name
2633,"68층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>106 RETURN n.name
2634,"68층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>116 RETURN n.name
2635,"68층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>126 RETURN n.name
2636,"68층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>136 RETURN n.name
2637,"68층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>146 RETURN n.name
2638,"68층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>156 RETURN n.name
2639,"68층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>166 RETURN n.name
2640,"68층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>176 RETURN n.name
2641,"68층 이상, 186m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>186 RETURN n.name
2642,"68층 이상, 196m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>196 RETURN n.name
2643,"68층 이상, 206m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>206 RETURN n.name
2644,"68층 이상, 216m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>216 RETURN n.name
2645,"68층 이상, 226m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>226 RETURN n.name
2646,"68층 이상, 236m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>236 RETURN n.name
2647,"68층 이상, 246m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>246 RETURN n.name
2648,"68층 이상, 256m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>256 RETURN n.name
2649,"68층 이상, 266m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>266 RETURN n.name
2650,"68층 이상, 276m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>276 RETURN n.name
2651,"68층 이상, 286m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>286 RETURN n.name
2652,"68층 이상, 296m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>296 RETURN n.name
2653,"68층 이상, 306m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>306 RETURN n.name
2654,"68층 이상, 316m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>316 RETURN n.name
2655,"68층 이상, 326m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>68 AND n.size>326 RETURN n.name
2656,"69층 이상, 16m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>16 RETURN n.name
2657,"69층 이상, 26m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>26 RETURN n.name
2658,"69층 이상, 36m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>36 RETURN n.name
2659,"69층 이상, 46m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>46 RETURN n.name
2660,"69층 이상, 56m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>56 RETURN n.name
2661,"69층 이상, 66m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>66 RETURN n.name
2662,"69층 이상, 76m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>76 RETURN n.name
2663,"69층 이상, 86m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>86 RETURN n.name
2664,"69층 이상, 96m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>96 RETURN n.name
2665,"69층 이상, 106m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>106 RETURN n.name
2666,"69층 이상, 116m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>116 RETURN n.name
2667,"69층 이상, 126m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>126 RETURN n.name
2668,"69층 이상, 136m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>136 RETURN n.name
2669,"69층 이상, 146m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>146 RETURN n.name
2670,"69층 이상, 156m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>156 RETURN n.name
2671,"69층 이상, 166m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>166 RETURN n.name
2672,"69층 이상, 176m2 이상 아파트를 찾아줘",MATCH (n:Apartment) WHERE n.story>69 AND n.size>176 RETURN n.name
